product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/layasa-running-shoes-women/p/itmf7a4dbe0d0e43?pid=SHOG69HVCMCZDETQ&lid=LSTSHOG69HVCMCZDETQBOWCKC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_VDuG7PJRpaHqb9ZEm9Cj0L_4pufCkGaaGpj59slhhyK8kM9r87UWQQurUp_Z88p4S2ZsJ8BGYKijmirEZkHiLQ%3D%3D&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Running Shoes For Women,Layasa ,398,0.6,4.1,62513
https://www.flipkart.com/campus-montana-women-s-casual-shoes-memory-insole-cushioning-nitrofly-lace-up-running-women/p/itm1f46c16386eb1?pid=SHOH2HHEXPDYAMEK&lid=LSTSHOH2HHEXPDYAMEKRFVVJB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOH2HHEXPDYAMEK.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,MONTANA Women's Casual Shoes | Memory Insole Cushioning with Nitrofly | Lace-Up Running Shoes For Women,CAMPUS ,1646,0.31,4.1,41
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itmb3f6c5fe12323?pid=SHOH44BEAEJPSTZC&lid=LSTSHOH44BEAEJPSTZCBCXZAH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOH44BEAEJPSTZC.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1419,0.82,4.2,678
https://www.flipkart.com/asian-firefly-09-navy-gym-sports-walking-stylish-running-shoes-women/p/itm0ca2235634b47?pid=SHOGN9YD729RZ7AY&lid=LSTSHOGN9YD729RZ7AYYP9XTP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOGN9YD729RZ7AY.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,"Firefly-09 Navy Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,801,0.46,4.2,12476
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm6949640c6e097?pid=SHOGAA3T7SFJNQGQ&lid=LSTSHOGAA3T7SFJNQGQUQMDAV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOGAA3T7SFJNQGQ.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS ,1058,0.24,4.2,41547
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itmdfd9802a9ebda?pid=SHOH6ZSTFBDGTGRM&lid=LSTSHOH6ZSTFBDGTGRMCI3N6P&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=19a3d74b-4615-4bc8-8eba-bbfda273fc09.SHOH6ZSTFBDGTGRM.SEARCH&ppt=sp&ppn=sp&ssid=82axeu4n280000001744466514528&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1222,0.82,4.4,936
https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itmfb64a68eaf04a?pid=SHOH7N7CCXDVXVGY&lid=LSTSHOH7N7CCXDVXVGYXV3PAE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_Gop8ja-JXCrFeqmoB0fJO-vOWB0WcOornYPap3Gzv1yQeQo6q_4EVO3-mMiVIUq7Ur72pJkWZmQT9wshi9_VeQ%3D%3D&ppt=sp&ppn=sp&ssid=82axeu4n280000001744466514528&qH=32e27b1148959538,Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women,Doctor Health Super Soft ,658,0.34,4.2,357
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itmc0b0d71bdca42?pid=SHOGARZCXHKTHUYG&lid=LSTSHOGARZCXHKTHUYGJMZVQN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_57&otracker=search&otracker1=search&fm=Search&iid=en_Gop8ja-JXCrFeqmoB0fJO-vOWB0WcOornYPap3Gzv1yWUDh1ki7vYgkA5efrKtPTmQKBO3yFobTGQQr0s0dvxQ%3D%3D&ppt=sp&ppn=sp&ssid=82axeu4n280000001744466514528&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS ,1058,0.24,4.2,41547
https://www.flipkart.com/pahnava-slip-sneakers-women/p/itmc9552bc74591e?pid=SHOHAQYSACZB8VQP&lid=LSTSHOHAQYSACZB8VQPU39VCG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_64&otracker=search&otracker1=search&fm=Search&iid=19a3d74b-4615-4bc8-8eba-bbfda273fc09.SHOHAQYSACZB8VQP.SEARCH&ppt=sp&ppn=sp&ssid=82axeu4n280000001744466514528&qH=32e27b1148959538,Slip On Sneakers For Women,PAHNAVA ,399,0.6,,
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itm36a745efbdf14?pid=SHOH4D4TWX2ZDNNH&lid=LSTSHOH4D4TWX2ZDNNHPN5EBI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_66&otracker=search&otracker1=search&fm=Search&iid=19a3d74b-4615-4bc8-8eba-bbfda273fc09.SHOH4D4TWX2ZDNNH.SEARCH&ppt=sp&ppn=sp&ssid=82axeu4n280000001744466514528&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1581,0.82,4.4,631
